data,encoded_target
PART WRINKLED SPACIAL PARTS 라벨타이어프레셔,0
APPEARANCE WRONGLY PRINTED DESCRIPTION SPACIAL PARTS 라벨타이어프레셔,1
이종 SPACIAL PARTS 툴잭,2
FUNCTION PROBLEM SPACIAL PARTS 잭하이드롤릭,3
FUNCTION PROBLEM SPACIAL PARTS 잭하이드롤릭,3
FUNCTION PROBLEM SPACIAL PARTS 잭하이드롤릭,3
MISSING QTY SPACIAL PARTS 잭,4
SUBPART PROBLEM ENGINE ASSEMBLY 엔진,5
WRONG PART STANDARD PARTS BOLTS 볼트플랜지,2
WRONG PART STANDARD PARTS BOLTS 볼트플랜지,2
MIXED STANDARD PARTS BOLTS 볼트플랜지,2
WRONG PART STANDARD PARTS BOLTS 볼트플랜지,2
MISS QUANTITY STANDARD PARTS BOLTS 볼트플랜지,4
DAMAGED STANDARD PARTS BOLTS 볼트플랜지,6
DAMAGED STANDARD PARTS BOLTS 볼트플랜지,6
DAMAGED THREAD STANDARD PARTS BOLTS 볼트플랜지,6
COATING PROBLEM STANDARD PARTS BOLTS 볼트플랜지,7
BENT STANDARD PARTS BOLTS 볼트플랜지,8
 STANDARD PARTS BOLTS 볼트플랜지,9
DIMENSION PROBLEM STANDARD PARTS BOLTS 볼트와셔,10
DIMENSION PROBLEM STANDARD PARTS BOLTS 볼트와셔,10
DIMENSION PROBLEM STANDARD PARTS BOLTS 볼트와셔,10
BROKEN STANDARD PARTS NUTSWASHER 너트플렌지,11
BROKEN STANDARD PARTS NUTSWASHER 너트플렌지,11
BROKEN STANDARD PARTS NUTSWASHER 너트플렌지,11
BROKEN STANDARD PARTS NUTSWASHER 너트플렌지,11
BROKEN STANDARD PARTS NUTSWASHER 너트플렌지,11
BROKEN STANDARD PARTS NUTSWASHER 너트플렌지,11
PACKING PROBLEM NUT SHORTAGE STANDARD PARTS NUTSWASHER 너트와셔,4
ABNORMAL RECEIVING STANDARD PARTS NUTSWASHER 너트플렌지,2
이종 STANDARD PARTS FASTENERSMISC/PIPE HOSE 핀도울,2
DAMAGE STANDARD PARTS FITTINGSTUBE/PIPE 캡실링,6
MISSING MARKING STANDARD PARTS ELECTRIC FASTENER FITTING 플러그스파크,12
DAMAGED STANDARD PARTS ELECTRIC FASTENER FITTING 플러그스파크,6
IRREGULAR RUNNING STANDARD PARTS ELECTRIC FASTENER FITTING 플러그스파크,13
IRREGULAR RUNNING STANDARD PARTS ELECTRIC FASTENER FITTING 플러그스파크,13
IRREGULAR RUNNING STANDARD PARTS ELECTRIC FASTENER FITTING 플러그스파크,13
MISSING MARKING STANDARD PARTS ELECTRIC FASTENER FITTING 플러그스파크,13
UNFITTING ENGINE ASSEMBLY 엔진,14
LOOSE ENGINE ASSEMBLY 엔진,15
WEA OPS PROBLEM ENGINE ASSEMBLY 엔진,6
LEAK ENGINE ASSEMBLY 엔진,3
LEAK ENGINE ASSEMBLY 엔진,3
MISSING HOLE ENGINE ASSEMBLY 엔진,16
INOP ENGINE ASSEMBLY 엔진,13
LEAK ENGINE ASSEMBLY 엔진,8
MALFUNCTION PROBLEM ENGINE ASSEMBLY 엔진,13
PROBLEM ENGINE ASSEMBLY 엔진,13
INOP ENGINE ASSEMBLY 엔진,13
SUBPART PROBLEM ENGINE ASSEMBLY 엔진,5
SUBPART PROBLEM ELECTRICAL RADIO/CASS HORN ETC(SOUND) 안테나루프,5
FUNCTION PROBLEM ENGINE ASSEMBLY 엔진,17
FUNCTION PROBLEM ENGINE ASSEMBLY 엔진,18
MISSING ENGINE ASSEMBLY 엔진,18
UNWANTED MATERIAL ENGINE CYLINDER BLOCK 캡베어링,9
BLOW HOLE ARROW SHAPE NOT FORMED PROPERLY ENGINE CYLINDER BLOCK 캡베어링,19
BLOW HOLES ENGINE CYLINDER BLOCK 캡베어링,20
BLOW HOLES LENGTH ENGINE CYLINDER BLOCK 캡베어링,20
IMPROPER PRINTING ENGINE CYLINDER BLOCK 캡센터베어링,21
IMPROPER NUMBER PRINTING ENGINE CYLINDER BLOCK 캡센터베어링,21
BURR 라인조립 지그간섭 ENGINE CYLINDER BLOCK 래더프레임서브,22
BURR 라인조립 지그간섭 ENGINE CYLINDER BLOCK 래더프레임서브,22
WRONG HOLE SIZE ENGINE CYLINDER BLOCK 래더프레임서브,10
WRONG HOLE SIZE ENGINE CYLINDER BLOCK 래더프레임서브,10
WRONG HOLE SIZE ENGINE CYLINDER BLOCK 래더프레임서브,10
