부품명,Part No,제목,정리,부품체계_1,부품체계_2,부품체계_3,data,target,target_빈도,data_len,predict
LABEL-TIRE PRESSURE,05203-C8000,Part is wrinkled (L),PART WRINKLED,SPACIAL PARTS,,라벨_타이어프레셔,PART WRINKLED SPACIAL PARTS 라벨타이어프레셔,주름,25,5,서브파트누락
LABEL-TIRE PRESSURE,05203-G4100,Appearance : Wrongly printed description,APPEARANCE WRONGLY PRINTED DESCRIPTION,SPACIAL PARTS,,라벨_타이어프레셔,APPEARANCE WRONGLY PRINTED DESCRIPTION SPACIAL PARTS 라벨타이어프레셔,인쇄불량,7,7,이물유입
TOOL & JACK ASSY,09100-Q5320,TOOL & JACK ASSY 이종,이종,SPACIAL PARTS,,툴&잭,이종 SPACIAL PARTS 툴잭,이종,199,4,수량부족
JACK ASSY-HYDRAULIC,09110-59101,FUNCTION PROBLEM,FUNCTION PROBLEM,SPACIAL PARTS,,잭_하이드롤릭,FUNCTION PROBLEM SPACIAL PARTS 잭하이드롤릭,누유,82,5,노이즈
JACK ASSY-HYDRAULIC,09110-59101,FUNCTION PROBLEM,FUNCTION PROBLEM,SPACIAL PARTS,,잭_하이드롤릭,FUNCTION PROBLEM SPACIAL PARTS 잭하이드롤릭,누유,82,5,노이즈
JACK ASSY-HYDRAULIC,09110-59101,FUNCTION PROBLEM,FUNCTION PROBLEM,SPACIAL PARTS,,잭_하이드롤릭,FUNCTION PROBLEM SPACIAL PARTS 잭하이드롤릭,누유,82,5,노이즈
JACK ASSY,09110-D3000,Missing qty,MISSING QTY,SPACIAL PARTS,,잭,MISSING QTY SPACIAL PARTS 잭,수량부족,98,5,서브파트누락
A2 TRIM VAN EURO 5 180A TROPIC,20100-LV190,SUB-PART PROBLEM,SUBPART PROBLEM,ENGINE,ASSEMBLY,엔진,SUBPART PROBLEM ENGINE ASSEMBLY 엔진,서브파트누락,116,5,서브파트누락
BOLT-FLANGE (M6),11290-08206B,Wrong part,WRONG PART,STANDARD PARTS,BOLTS,볼트_플랜지,WRONG PART STANDARD PARTS BOLTS 볼트플랜지,이종,199,6,이종
BOLT-FLANGE (M8),11401-10206B,Wrong part,WRONG PART,STANDARD PARTS,BOLTS,볼트_플랜지,WRONG PART STANDARD PARTS BOLTS 볼트플랜지,이종,199,6,이종
BOLT-FLANGE,11403-06126K,LN 11403-06126K mixed (PPR 051-20),MIXED,STANDARD PARTS,BOLTS,볼트_플랜지,MIXED STANDARD PARTS BOLTS 볼트플랜지,이종,199,5,이종
BOLT-FLANGE,11403-08161,WRONG PARTS,WRONG PART,STANDARD PARTS,BOLTS,볼트_플랜지,WRONG PART STANDARD PARTS BOLTS 볼트플랜지,이종,199,6,이종
BOLT-FLANGE,11403-08226K,HMSK 11403-08226K miss quantity (PPR-20012904),MISS QUANTITY,STANDARD PARTS,BOLTS,볼트_플랜지,MISS QUANTITY STANDARD PARTS BOLTS 볼트플랜지,수량부족,98,6,수량부족
BOLT-FLANGE,11403-08406K,LN 11403-08406K damaged (PPR 156-20),DAMAGED,STANDARD PARTS,BOLTS,볼트_플랜지,DAMAGED STANDARD PARTS BOLTS 볼트플랜지,파손,546,5,파손
BOLT-FLANGE,11403-08406K,GSK 11403-08406K damaged (PPR-20060801,DAMAGED,STANDARD PARTS,BOLTS,볼트_플랜지,DAMAGED STANDARD PARTS BOLTS 볼트플랜지,파손,546,5,파손
BOLT-FLANGE,11404-10956K,LN 11404-10956K damaged thread (PPR 318-20),DAMAGED THREAD,STANDARD PARTS,BOLTS,볼트_플랜지,DAMAGED THREAD STANDARD PARTS BOLTS 볼트플랜지,파손,546,6,파손
BOLT-FLANGE,11404-10956K,LN 11404-10956K coating problem (PPR 194-20),COATING PROBLEM,STANDARD PARTS,BOLTS,볼트_플랜지,COATING PROBLEM STANDARD PARTS BOLTS 볼트플랜지,도금뭉침,6,6,서브파트이종
